epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.0735,1.78912,3.53556,1.04641,0.00673,0.63333,0.30339,0.19812,1.70862,3.60653,0.88266,0.00027151,0.00027151,0.00027151
2,54.7177,1.93308,2.99941,0.93687,0.00707,0.64167,0.26283,0.14655,1.9274,3.56296,0.93075,0.000549954,0.000549954,0.000549954
3,79.6032,1.89639,2.4774,0.93689,0.76761,0.23857,0.38897,0.24929,1.89542,3.09565,0.91106,0.000820852,0.000820852,0.000820852
4,103.188,1.98619,1.9815,0.95422,0.83364,0.36667,0.44551,0.30857,1.83333,2.71432,0.90519,0.00108421,0.00108421,0.00108421
5,127.033,1.98986,1.70632,0.95554,0.87237,0.35,0.59168,0.34194,1.87247,2.1933,0.92271,0.00134001,0.00134001,0.00134001
6,150.869,2.03459,1.69592,0.98501,0.76533,0.51629,0.68854,0.38478,1.85536,1.58324,0.94831,0.00133469,0.00133469,0.00133469
7,174.281,1.95186,1.65403,0.95328,0.62553,0.59915,0.68055,0.37716,1.77599,1.64371,0.97222,0.00131582,0.00131582,0.00131582
8,197.979,1.99541,1.59991,0.96323,0.66686,0.58062,0.6809,0.39502,1.72283,1.66752,0.9678,0.00129696,0.00129696,0.00129696
9,220.953,1.86354,1.47808,0.9433,0.71321,0.57183,0.70068,0.4169,1.70897,1.59446,0.94734,0.0012781,0.0012781,0.0012781
10,244.844,1.86639,1.41098,0.94463,0.44671,0.6905,0.66578,0.36441,1.79677,2.25925,0.94082,0.00125923,0.00125923,0.00125923
11,267.686,1.82105,1.36945,0.94242,0.40606,0.76348,0.64611,0.34626,1.72284,2.35453,0.94991,0.00124037,0.00124037,0.00124037
12,290.893,1.77158,1.3386,0.9347,0.45616,0.72087,0.60888,0.32994,1.69246,1.63451,0.93596,0.00122151,0.00122151,0.00122151
13,314.314,1.72088,1.28352,0.93579,0.53612,0.66841,0.60762,0.35,1.73721,1.46715,0.9227,0.00120265,0.00120265,0.00120265
14,338.62,1.73593,1.25863,0.91818,0.70136,0.65216,0.69683,0.42136,1.58103,1.19734,0.92459,0.00118378,0.00118378,0.00118378
15,362.145,1.65346,1.19548,0.91485,0.63791,0.74117,0.70737,0.41739,1.56058,1.23429,0.93366,0.00116492,0.00116492,0.00116492
16,385.816,1.66904,1.20421,0.93174,0.61266,0.73394,0.70689,0.42593,1.49513,1.20758,0.94308,0.00114606,0.00114606,0.00114606
17,409.417,1.65517,1.15921,0.92124,0.63115,0.70535,0.70089,0.40277,1.52438,1.17934,0.94021,0.0011272,0.0011272,0.0011272
18,433.095,1.65683,1.14478,0.9239,0.64237,0.7443,0.74527,0.46697,1.47486,1.03087,0.91402,0.00110833,0.00110833,0.00110833
19,456.606,1.67847,1.10642,0.91656,0.64095,0.74236,0.75487,0.49819,1.51821,1.05495,0.89661,0.00108947,0.00108947,0.00108947
20,479.865,1.62436,1.1584,0.91934,0.74069,0.71407,0.77588,0.51249,1.4549,1.04051,0.87633,0.00107061,0.00107061,0.00107061
21,503.246,1.63764,1.13912,0.91037,0.81131,0.67539,0.8153,0.55885,1.41823,0.98156,0.87101,0.00105174,0.00105174,0.00105174
22,526.637,1.60566,1.12066,0.9144,0.72887,0.69352,0.81166,0.54018,1.46329,1.03785,0.88841,0.00103288,0.00103288,0.00103288
23,550.455,1.57054,1.11766,0.91666,0.7374,0.71221,0.81843,0.5483,1.46682,0.99841,0.88684,0.00101402,0.00101402,0.00101402
24,574.12,1.58511,1.08641,0.89716,0.7668,0.71477,0.8103,0.53422,1.45021,0.97976,0.89063,0.000995156,0.000995156,0.000995156
25,597.715,1.53433,1.04312,0.89487,0.82375,0.69214,0.80253,0.52733,1.45492,0.96944,0.88794,0.000976293,0.000976293,0.000976293
26,621.03,1.52236,1.01229,0.91045,0.85112,0.70335,0.83709,0.56691,1.43008,0.91465,0.87867,0.00095743,0.00095743,0.00095743
27,644.947,1.53133,1.03623,0.88855,0.89049,0.66202,0.84186,0.57552,1.39642,0.88583,0.88155,0.000938567,0.000938567,0.000938567
28,667.973,1.52991,0.99139,0.90248,0.86488,0.7062,0.84805,0.57614,1.35994,0.8687,0.89268,0.000919704,0.000919704,0.000919704
29,690.882,1.49363,0.98427,0.90786,0.75557,0.81343,0.84699,0.55962,1.38314,0.86854,0.88045,0.000900842,0.000900842,0.000900842
30,713.904,1.4744,0.98393,0.90285,0.86977,0.77068,0.8541,0.5636,1.39842,0.88318,0.86299,0.000881979,0.000881979,0.000881979
31,736.639,1.49489,0.97651,0.88628,0.90258,0.76017,0.85986,0.57553,1.37372,0.85737,0.8621,0.000863116,0.000863116,0.000863116
32,759.323,1.44637,0.94214,0.89747,0.85885,0.79574,0.85055,0.57318,1.35897,0.8699,0.86373,0.000844253,0.000844253,0.000844253
33,782.865,1.50777,0.94857,0.88442,0.83158,0.77761,0.84786,0.56686,1.39623,0.87989,0.86783,0.00082539,0.00082539,0.00082539
34,805.91,1.44037,0.96014,0.89946,0.83892,0.76699,0.8492,0.59651,1.30657,0.87024,0.86711,0.000806528,0.000806528,0.000806528
